Season,Name,Team,GS,IP,vFA (pi),ERA,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,NameASCII,PlayerId,MLBAMID
2024,"Chris Flexen","CHW",30,147.1,91.40875771604938,5.131221896597811,70.51259533350569,,70.02685832419591,,,69.53447265625,69.55855072962555,72.32119475272586,,,67.29888975273059,,,69.55855072962555,,72.32119475272586,,"Chris Flexen",13896,623167
2024,"Zac Gallen","ARI",28,148,93.8180123390558,3.6486486486486487,43.32754866803279,,40.27765130377435,,,41.476949055989586,39.24633565080275,,41.02066822766571,,35.83156661769943,,,39.24633565080275,,,,"Zac Gallen",19291,668678
2024,"Colin Rea","MIL",27,148.1,92.98907912234043,4.611236113172763,33.717136909501065,,34.799332646202885,35.195018129485646,,33.82870133196721,34.32083591811414,40.76073251856435,,,,,,,34.32083591811414,40.76073251856435,,"Colin Rea",12317,607067
2024,"Cal Quantrill","COL",29,148.1,94.232314453125,4.975281069475875,,,42.06651871927669,41.98934323286052,,44.82166607815443,,49.36670510165663,,,41.31859832114362,,,,,49.36670510165663,,"Cal Quantrill",19312,615698
2025,"Casey Mize","DET",28,149,94.74893916560913,3.865771812080537,48.01533727372035,,,43.39876359292619,,46.15947333916084,42.85213599376731,41.684230259486604,,,,,,42.86155056423611,39.46239471435547,,41.684230259486604,"Casey Mize",20492,663554
2025,"Zack Wheeler","PHI",24,149.2,95.9765063526694,2.7060135469509574,23.188069412589194,,22.91870591246966,24.339977336379718,,22.512853673986488,21.92698815986935,25.27895674746261,,,,,,,21.92698815986935,25.27895674746261,,"Zack Wheeler",10310,554430
2025,"Drew Rasmussen","TBR",31,150,95.79196947674419,2.76,59.47231326219512,,53.8833912037037,,,50.035326731499055,47.96907697405134,58.2224853515625,,,52.07859584263393,,,,47.96907697405134,58.2224853515625,,"Drew Rasmussen",25385,656876
2024,"Frankie Montas","- - -",30,150.2,95.75308814010357,4.838495779395981,42.13877031428981,,43.683990726626014,41.06563591809006,,43.61257983010913,43.491697481094306,,,,,,,43.491697481094306,,,,"Frankie Montas",14309,593423
2024,"Ranger Suarez","PHI",27,150.2,92.02605879934211,3.4646020038302265,39.23429415168845,,42.69158442982456,,,39.98654953188259,45.443214416503906,42.541561529503106,,,37.13470458984375,,,45.443214416503906,,42.541561529503106,,"Ranger Suarez",17277,624133
2024,"Ben Lively","CLE",29,151,89.99538799894958,3.814569536423841,39.37850322420635,,,,,37.230222157460545,34.98373389790076,40.21118742594787,,,37.26735414277523,,,34.84098724626068,35.0247667767199,40.21118742594787,,"Ben Lively",14932,594902
2024,"Marcus Stroman","NYY",29,151.2,90.5891822076613,4.331868422413479,32.79623718261719,,32.01986228813559,29.179998224431817,,31.698028029057017,34.44953347156398,29.437622648844787,,,,,,34.44953347156398,,33.915409088134766,28.63712519640363,"Marcus Stroman",13431,573186
2025,"Justin Verlander","SFG",29,152,93.9484506302521,3.848684210526316,57.541061813766895,,,,,56.53166580200195,53.688968478598014,53.27308009826031,,,50.933246234515764,,,54.367404159869494,51.534154387953365,53.27308009826031,,"Justin Verlander",8700,434378
2025,"Patrick Corbin","TEX",30,154.1,91.48894904641544,4.315334915435821,39.41719611672794,,33.40745777355919,,,37.200711686643835,36.985099473110466,44.73229166666667,,,40.36780098157051,,,36.985099473110466,,44.73229166666667,,"Patrick Corbin",9323,571578
2025,"Eduardo Rodriguez","ARI",29,154.1,91.95791144120066,5.0151189557767655,39.72736634814049,,38.56918717367936,,,42.371089311079544,42.582050175629846,45.73056744514628,,,40.39531766895085,,,42.582050175629846,,45.73056744514628,,"Eduardo Rodriguez",13164,593958
