Name,Team,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,WAR,NameASCII,PlayerId,MLBAMID
"Nick Robertson","- - -",38.56606075810451,,28.345502217610676,,,,30.562787499014785,,,,29.511569954883093,,,30.92247439445333,30.351471161842348,,,0.18497277394484316,"Nick Robertson",26226,687798
"James Norwood","- - -",37.17867543035587,,,39.11772847827015,,36.70985243055556,35.62241554260254,,,,,,,35.62241554260254,,,,0.18442465635847305,"James Norwood",16440,656803
"Sammy Peralta","- - -",15.382087026568625,,,,,22.221913506002988,9.444849766425367,,,,12.07060928778215,,,12.06668900568551,7.612923683264317,,,0.1842694538719016,"Sammy Peralta",25589,671111
"Jeremy Jeffress","CHC",30.07685040204953,,,33.31752399129605,,34.40753223740052,,,35.62126267377068,,,,,,,,,0.18025764615471024,"Jeremy Jeffress",9490,502026
"Angel Felipe","OAK",42.716960494582715,,,,,41.27237352912809,46.28181743621826,,,,39.776729583740234,,,46.28181743621826,,,,0.17719979547765682,"Angel Felipe",21163,665734
"Caleb Boushley","- - -",43.37654486808987,,42.01228407738914,,,40.54479157820992,43.29871660315472,51.893815122331894,,,44.8414306640625,,,44.59800602234516,36.29699028862847,51.893815122331894,,0.17136720272445286,"Caleb Boushley",19736,676961
"Justin Hagenman","NYM",,,21.773962890625,,,24.868243634700775,25.258601317534577,,,,21.900673085992988,,,25.258601317534577,,,,0.17119549306062706,"Justin Hagenman",21546,663795
"Drew Carlton","- - -",23.995420252156055,,,,,24.7686038839406,24.04140602539633,,,,23.276645400307395,,,24.04140602539633,,,,0.17031478180713538,"Drew Carlton",19868,656290
"Kervin Castro","- - -",54.95048518254207,,61.490767033894855,,,59.859352111816406,,65.8323819247159,,,,,,,,65.8323819247159,,0.1687281407457351,"Kervin Castro",21656,665645
"Zack Kelly","BOS",37.54881485779579,,37.04620864987373,,,34.93262231088903,34.92637848051468,42.22927602132162,,,33.296902285311326,,,40.78281527757645,34.076464750328846,42.22927602132162,,0.1676446586153628,"Zack Kelly",20349,677161
